Model,EOL Date,EOSL Date
PIX 520 Firewall,"June 24, 2001","June 24, 2006"
HP 10BaseT Hub-16M,"Dec 30, 2000","Dec 30, 2005"
Compression Service Adapter for Cisco 7000 Series Routers,"Oct 29, 2000","Oct 29, 2005"
7204 Router,"May 01, 2000","May 01, 2005"
7200 Series 2-Port Channelized E1 PRI Port Adapter,"Jan 28, 2000","Jan 28, 2005"
7200 Series 2-Port Channelized T1 PRI Port Adapter,"Jan 28, 2000","Jan 28, 2005"
MGX 8800 Series Route Processor Module,"Dec 30, 1999","Dec 30, 2004"
12000 Series 1-Port OC-48c STM-16c POS SDH Line Card,"Oct 04, 1999","Oct 04, 2004"
7202 Router,"July 30, 1999","July 30, 2004"
Catalyst 6500 Series Intrusion Detection System (IDSM-1) Module,"April 20, 1998","April 20, 2003"
200 ISDN Adapter,"April 16, 1998","April 16, 2003"
Catalyst 6500 Series Intrusion Detection System (IDSM-2) Module,"Feb 18, 1998","Feb 18, 2003"
Cisco LightStream 2020 ATM Switches,"Jan 03, 1998","Jan 03, 2003"
Cisco LightStream 100 Series Switch,"Nov 01, 1996","Nov 01, 2001"
Cisco WS-C1100 CDDI FDDI Workgroup Concentrator,"Sept 23, 1995","Sept 23, 2000"
Catalyst 9300,Date Not Published,Date Not Published
